train,test,in_domain,roc_auc,ap,mcc,bal_acc,f1,f1_trivial,f1_lift,acc,recall,prevalence,fpr
iot_23,cicids2017,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,unsw_nb15,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,ton_iot,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,bot_iot,False,0.5,0.9991,0.0,0.5,0.0,0.9996,-0.9996,0.0009,0.0,0.9991,0.0
iot_23,cicddos2019,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,iotid20,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,x_iiotid,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,mqtt_iot_ids2020,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,cic_iot_2023,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,wustl_iiot,False,0.5,0.5,0.0,0.5,0.0,0.6667,-0.6667,0.5,0.0,0.5,0.0
iot_23,iot_23,True,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
